date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5
2020-02-06,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,6
2020-02-13,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,7
2020-02-20,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,8
2020-02-27,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,9
2020-03-05,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,10
2020-03-12,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.89,4.0,0.0,11
2020-03-19,CU,Q241,Cuba,11326616,22.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.89,7.0,1.0,12
2020-03-26,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,66.67,69.0,1.0,13
2020-04-02,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,66.67,189.0,4.0,14
2020-04-09,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,70.37,295.0,9.0,15
2020-04-16,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,73.15,359.0,16.0,16
2020-04-23,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,83.33,362.0,18.0,17
2020-04-30,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,83.33,252.0,15.0,18
2020-05-07,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,85.19,204.0,10.0,19
2020-05-14,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,99.0,5.0,20
2020-05-21,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,76.0,2.0,21
2020-05-28,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,89.0,1.0,22
2020-06-04,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,128.0,1.0,23
2020-06-11,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,100.0,1.0,24
2020-06-18,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,100.0,72.0,1.0,25
2020-06-25,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,86.11,20.0,0.0,26
2020-07-02,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,86.11,36.0,1.0,27
2020-07-09,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,68.52,52.0,0.0,28
2020-07-16,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,68.52,31.0,1.0,29
2020-07-23,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,68.52,25.0,0.0,30
2020-07-30,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,68.52,139.0,0.0,31
2020-08-06,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,68.52,221.0,1.0,32
2020-08-13,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,82.41,400.0,0.0,33
2020-08-20,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,82.41,353.0,1.0,34
2020-08-27,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,82.41,284.0,3.0,35
2020-09-03,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,400.0,8.0,36
2020-09-10,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,327.0,6.0,37
2020-09-17,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,411.0,5.0,38
2020-09-24,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,86.11,346.0,7.0,39
2020-10-01,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,84.26,368.0,4.0,40
2020-10-08,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,78.7,225.0,1.0,41
2020-10-15,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0,2.0,73.15,175.0,1.0,42
2020-10-22,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,64.81,361.0,4.0,43
2020-10-29,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,64.81,322.0,0.0,44
2020-11-05,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,64.81,427.0,2.0,45
2020-11-12,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,59.26,313.0,1.0,46
2020-11-19,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,59.26,222.0,0.0,47
2020-11-26,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,59.26,347.0,2.0,48
2020-12-03,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,59.26,500.0,3.0,49
2020-12-10,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,56.48,657.0,0.0,50
2020-12-17,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,56.48,626.0,1.0,51
2020-12-24,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,56.48,1007.0,3.0,52
2020-12-31,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,56.48,1156.0,6.0,53
2021-01-07,CU,Q241,Cuba,11326616,22.0,-79.5,1.0,2.0,2.0,4.0,1.0,0.0,2.0,3.0,2.0,62.04,1767.0,2.0,1
2021-01-14,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,78.7,3273.0,14.0,2
2021-01-21,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,78.7,2964.0,26.0,3
2021-01-28,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,78.7,4704.0,22.0,4
2021-02-04,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,78.7,6426.0,19.0,5
2021-02-11,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5405.0,28.0,6
2021-02-18,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5952.0,30.0,7
2021-02-25,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5894.0,27.0,8
2021-03-04,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5644.0,27.0,9
2021-03-11,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5834.0,24.0,10
2021-03-18,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5230.0,22.0,11
2021-03-25,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,5485.0,26.0,12
2021-04-01,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,6719.0,16.0,13
2021-04-08,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,7179.0,19.0,14
2021-04-15,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,6916.0,52.0,15
2021-04-22,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,7760.0,69.0,16
2021-04-29,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,7499.0,75.0,17
2021-05-06,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,81.48,7169.0,69.0,18
2021-05-13,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,81.48,7962.0,72.0,19
2021-05-20,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,79.63,8705.0,64.0,20
2021-05-27,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,78.24,8356.0,84.0,21
2021-06-03,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,78.24,7797.0,59.0,22
2021-06-10,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,78.24,8170.0,65.0,23
2021-06-17,CU,Q241,Cuba,11326616,22.0,-79.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,78.24,10030.0,75.0,24
