date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-01-09,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,6
2020-02-13,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,7
2020-02-20,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,8
2020-02-27,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,9
2020-03-05,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,10
2020-03-12,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,11
2020-03-19,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,33.33,0.0,0.0,12
2020-03-26,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,50.93,4.0,0.0,13
2020-04-02,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,79.63,0.0,0.0,14
2020-04-09,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,79.63,2.0,0.0,15
2020-04-16,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,79.63,48.0,0.0,16
2020-04-23,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,79.63,35.0,0.0,17
2020-04-30,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,79.63,33.0,0.0,18
2020-05-07,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,87.96,108.0,0.0,19
2020-05-14,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,79.63,95.0,0.0,20
2020-05-21,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.63,36.0,1.0,21
2020-05-28,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,43.0,1.0,22
2020-06-04,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,131.0,1.0,23
2020-06-11,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,161.0,1.0,24
2020-06-18,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,151.0,2.0,25
2020-06-25,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,179.0,2.0,26
2020-07-02,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,355.0,5.0,27
2020-07-09,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,209.0,4.0,28
2020-07-16,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.17,348.0,1.0,29
2020-07-23,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,68.06,281.0,2.0,30
2020-07-30,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,68.06,232.0,1.0,31
2020-08-06,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,65.28,328.0,6.0,32
2020-08-13,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,65.28,356.0,4.0,33
2020-08-20,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,65.28,276.0,4.0,34
2020-08-27,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,65.28,333.0,1.0,35
2020-09-03,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,68.98,455.0,3.0,36
2020-09-10,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,68.98,451.0,3.0,37
2020-09-17,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,68.98,535.0,6.0,38
2020-09-24,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,68.98,442.0,5.0,39
2020-10-01,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,68.98,577.0,7.0,40
2020-10-08,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,67.13,604.0,11.0,41
2020-10-15,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,68.52,717.0,9.0,42
2020-10-22,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,71.3,672.0,12.0,43
2020-10-29,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,71.3,496.0,1.0,44
2020-11-05,CV,Q1011,Cape Verde,555988,15.916667,-24.083333,3.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,71.3,530.0,5.0,45
