date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,2.0,0.0,10
2020-03-12,DO,Q786,Dominican Republic,10847904,18.8,-70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,3.0,0.0,11
2020-03-19,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,0.0,4.0,1.0,81.48,29.0,2.0,12
2020-03-26,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,547.0,18.0,13
2020-04-02,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,907.0,48.0,14
2020-04-09,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,861.0,50.0,15
2020-04-16,DO,Q786,Dominican Republic,10847904,18.8,-70.2,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,92.59,1777.0,82.0,16
