date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
2020-01-16,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
2020-01-23,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4
2020-01-30,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,1.0,0.0,6
2020-02-13,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,4.0,1.0,7
2020-02-20,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,8
2020-02-27,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,37.0,0.0,9
2020-03-05,ES,Q29,Spain,46937060,40.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,525.0,4.0,10
2020-03-12,ES,Q29,Spain,46937060,40.2,-3.5,3.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,45.83,5777.0,159.0,11
2020-03-19,ES,Q29,Spain,46937060,40.2,-3.5,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,71.76,24934.0,1260.0,12
