date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,4
2020-01-30,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5
2020-02-06,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,6
2020-02-13,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,7
2020-02-20,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8
2020-02-27,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,9
2020-03-05,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,10
2020-03-12,FJ,Q712,Fiji,896444,-18.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,11
2020-03-19,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,79.63,1.0,0.0,12
2020-03-26,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,81.48,4.0,0.0,13
2020-04-02,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,2.0,0.0,14
2020-04-09,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,8.0,0.0,15
2020-04-16,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,2.0,0.0,16
2020-04-23,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,1.0,0.0,17
2020-04-30,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,0.0,0.0,18
2020-05-07,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,80.56,0.0,0.0,19
2020-05-14,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,80.56,0.0,0.0,20
2020-05-21,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,21
2020-05-28,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,22
2020-06-04,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,23
2020-06-11,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,24
2020-06-18,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,25
2020-06-25,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,70.37,0.0,0.0,26
2020-07-02,FJ,Q712,Fiji,896444,-18.0,178.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,62.04,0.0,0.0,27
