date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,2.0,0.0,10
2020-03-12,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,29.63,1.0,0.0,11
2020-03-19,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,51.85,84.0,0.0,12
2020-03-26,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,51.85,63.0,0.0,13
2020-04-02,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,60.19,29.0,0.0,14
2020-04-09,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,60.19,5.0,0.0,15
2020-04-16,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,60.19,0.0,0.0,16
2020-04-23,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,3.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,60.19,3.0,0.0,17
2020-04-30,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,2.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,56.48,0.0,0.0,18
2020-05-07,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,2.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,56.48,0.0,0.0,19
2020-05-14,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,2.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,56.48,0.0,0.0,20
2020-05-21,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,35.19,0.0,0.0,21
2020-05-28,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,35.19,0.0,0.0,22
2020-06-04,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,35.19,0.0,0.0,23
2020-06-11,FO,Q4628,Faroe Islands,48865,61.969944,-6.844481,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,35.19,0.0,0.0,24
