date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1
2020-01-09,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4
2020-01-30,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5
2020-02-06,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,6
2020-02-13,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,7
2020-02-20,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,8
2020-02-27,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,9
2020-03-05,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,10
2020-03-12,GA,Q1000,Gabon,2225728,-0.683331,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,11
2020-03-19,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,44.44,2.0,0.0,12
2020-03-26,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,0.0,70.37,4.0,0.0,13
2020-04-02,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,70.37,14.0,0.0,14
2020-04-09,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,70.37,26.0,0.0,15
2020-04-16,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,81.48,62.0,0.0,16
2020-04-23,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,81.48,64.0,2.0,17
2020-04-30,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,81.48,136.0,1.0,18
2020-05-07,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,79.63,311.0,2.0,19
2020-05-14,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,84.26,589.0,2.0,20
2020-05-21,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,84.26,519.0,2.0,21
2020-05-28,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,84.26,885.0,3.0,22
2020-06-04,GA,Q1000,Gabon,2225728,-0.683331,11.5,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,84.26,488.0,6.0,23
