date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,1
2020-01-09,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,2
2020-01-16,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,3
2020-01-23,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,4
2020-01-30,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,5
2020-02-06,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,6
2020-02-13,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,7
2020-02-20,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,8
2020-02-27,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,9
2020-03-05,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,10
2020-03-12,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,11
2020-03-19,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,12
2020-03-26,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,7.0,0.0,13
2020-04-02,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,3.0,0.0,14
2020-04-09,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,15
2020-04-16,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,16
2020-04-23,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,17
2020-04-30,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,5.0,0.0,18
2020-05-07,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,19
2020-05-14,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,20
2020-05-21,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,21
2020-05-28,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,22
2020-06-04,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,23
2020-06-11,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,24
2020-06-18,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,25
2020-06-25,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,26
2020-07-02,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,27
2020-07-09,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,28
2020-07-16,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,29
2020-07-23,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,30
2020-07-30,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,31
2020-08-06,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,32
2020-08-13,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,33
2020-08-20,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,34
2020-08-27,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,35
2020-09-03,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,36
2020-09-10,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,37
2020-09-17,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,38
2020-09-24,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,39
2020-10-01,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,40
2020-10-08,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,41
2020-10-15,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,42
2020-10-22,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,43
2020-10-29,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,44
2020-11-05,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,45
2020-11-12,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,46
2020-11-19,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,4.0,0.0,47
2020-11-26,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,5.0,0.0,48
2020-12-03,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,49
2020-12-10,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,0.0,50
2020-12-17,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,42.0,0.0,51
2020-12-24,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,27.0,0.0,52
2020-12-31,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,16.0,0.0,53
2021-01-07,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,2.0,1.0,1
2021-01-14,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,9.0,0.0,2
2021-01-21,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,3
2021-01-28,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,9.0,0.0,4
2021-02-04,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,5
2021-02-11,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,6
2021-02-18,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,7
2021-02-25,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,8
2021-03-04,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,3.0,0.0,9
2021-03-11,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,0.0,0.0,10
2021-03-18,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,3.0,0.0,11
2021-03-25,GD,Q769,Grenada,112519,12.116667,-61.666667,,,,,,,,,,,1.0,0.0,12
