date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,4
2020-01-30,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,5
2020-02-06,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,6
2020-02-13,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,7
2020-02-20,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,8
2020-02-27,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,9
2020-03-05,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.11,0.0,0.0,10
2020-03-12,GT,Q774,Guatemala,17915567,15.5,-90.25,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,33.33,0.0,0.0,11
2020-03-19,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,83.33,9.0,1.0,12
2020-03-26,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,93.52,16.0,0.0,13
2020-04-02,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,93.52,25.0,0.0,14
2020-04-09,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,93.52,76.0,2.0,15
2020-04-16,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,93.52,88.0,4.0,16
2020-04-23,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,170.0,4.0,17
2020-04-30,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,215.0,5.0,18
2020-05-07,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,233.0,7.0,19
2020-05-14,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,686.0,6.0,20
2020-05-21,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,994.0,19.0,21
2020-05-28,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,1836.0,32.0,22
2020-06-04,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,1806.0,78.0,23
2020-06-11,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,2407.0,176.0,24
2020-06-18,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,3307.0,115.0,25
2020-06-25,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,3751.0,174.0,26
2020-07-02,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,4453.0,220.0,27
2020-07-09,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,6586.0,249.0,28
2020-07-16,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,6281.0,312.0,29
2020-07-23,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,10344.0,265.0,30
2020-07-30,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,96.3,6506.0,255.0,31
2020-08-06,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,87.04,5481.0,244.0,32
2020-08-13,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,87.04,6158.0,173.0,33
2020-08-20,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,5513.0,191.0,34
2020-08-27,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,5980.0,177.0,35
2020-09-03,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,4119.0,116.0,36
2020-09-10,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,3969.0,104.0,37
2020-09-17,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,3335.0,147.0,38
2020-09-24,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,67.59,4534.0,110.0,39
2020-10-01,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,67.59,4212.0,81.0,40
2020-10-08,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3845.0,89.0,41
2020-10-15,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3496.0,122.0,42
2020-10-22,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3471.0,116.0,43
2020-10-29,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3437.0,120.0,44
2020-11-05,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3163.0,80.0,45
2020-11-12,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3621.0,86.0,46
2020-11-19,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3634.0,187.0,47
2020-11-26,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3375.0,74.0,48
2020-12-03,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3673.0,83.0,49
2020-12-10,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3736.0,152.0,50
2020-12-17,GT,Q774,Guatemala,17915567,15.5,-90.25,3.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,49.54,3521.0,213.0,51
