date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5
2020-02-06,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,6
2020-02-13,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,7
2020-02-20,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,0.0,0.0,8
2020-02-27,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,5.0,0.0,9
2020-03-05,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.89,6.0,0.0,10
2020-03-12,HR,Q224,Croatia,4076246,45.25,15.466667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,22.22,21.0,0.0,11
2020-03-19,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,96.0,1.0,12
2020-03-26,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,458.0,2.0,13
2020-04-02,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,493.0,5.0,14
2020-04-09,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,416.0,13.0,15
2020-04-16,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,319.0,15.0,16
2020-04-23,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,195.0,15.0,17
2020-04-30,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,96.3,76.0,24.0,18
2020-05-07,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,76.0,11.0,19
2020-05-14,HR,Q224,Croatia,4076246,45.25,15.466667,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,61.0,9.0,20
2020-05-21,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,70.37,21.0,4.0,21
2020-05-28,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,70.37,2.0,4.0,22
2020-06-04,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,50.93,2.0,0.0,23
2020-06-11,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,50.93,2.0,4.0,24
2020-06-18,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,54.63,31.0,0.0,25
2020-06-25,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,54.63,259.0,0.0,26
2020-07-02,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,54.63,469.0,5.0,27
2020-07-09,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,54.63,524.0,5.0,28
2020-07-16,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,49.07,605.0,3.0,29
2020-07-23,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,46.3,578.0,8.0,30
2020-07-30,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,424.0,17.0,31
2020-08-06,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,327.0,10.0,32
2020-08-13,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,792.0,8.0,33
2020-08-20,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,1336.0,6.0,34
2020-08-27,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,1955.0,11.0,35
2020-09-03,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,35.19,1879.0,15.0,36
2020-09-10,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,35.19,1679.0,16.0,37
2020-09-17,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,1406.0,33.0,38
2020-09-24,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,1282.0,22.0,39
2020-10-01,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,1365.0,25.0,40
2020-10-08,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,2286.0,22.0,41
2020-10-15,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,4219.0,32.0,42
2020-10-22,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,28.7,8052.0,68.0,43
2020-10-29,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,31.48,14830.0,118.0,44
2020-11-05,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,15758.0,186.0,45
2020-11-12,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,16673.0,251.0,46
2020-11-19,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,17859.0,289.0,47
2020-11-26,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,38.89,22869.0,343.0,48
2020-12-03,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,52.78,23664.0,432.0,49
2020-12-10,HR,Q224,Croatia,4076246,45.25,15.466667,1.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,52.78,25018.0,452.0,50
2020-12-17,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,56.48,21847.0,539.0,51
2020-12-24,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,2.0,3.0,2.0,67.59,13727.0,525.0,52
2020-12-31,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,2.0,3.0,2.0,67.59,8045.0,413.0,53
2021-01-07,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,2.0,3.0,0.0,67.59,5939.0,343.0,1
2021-01-14,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,2.0,3.0,0.0,67.59,5866.0,246.0,2
2021-01-21,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,56.48,4157.0,220.0,3
2021-01-28,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,56.48,3570.0,202.0,4
2021-02-04,HR,Q224,Croatia,4076246,45.25,15.466667,2.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,56.48,3163.0,150.0,5
