date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6
2020-02-13,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8
2020-02-27,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,9
2020-03-05,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,10
2020-03-12,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,11
2020-03-19,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,82.41,2.0,0.0,12
2020-03-26,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,82.41,6.0,0.0,13
2020-04-02,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,82.41,10.0,0.0,14
2020-04-09,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,90.74,12.0,2.0,15
2020-04-16,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,90.74,13.0,1.0,16
2020-04-23,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,93.52,29.0,2.0,17
2020-04-30,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,89.81,9.0,3.0,18
2020-05-07,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,89.81,48.0,4.0,19
2020-05-14,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,89.81,144.0,8.0,20
2020-05-21,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,89.81,461.0,5.0,21
2020-05-28,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,89.81,709.0,10.0,22
2020-06-04,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,1197.0,15.0,23
2020-06-11,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,1301.0,14.0,24
2020-06-18,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,975.0,20.0,25
2020-06-25,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,627.0,12.0,26
2020-07-02,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,77.78,558.0,14.0,27
2020-07-09,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,72.22,481.0,20.0,28
2020-07-16,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,72.22,366.0,15.0,29
2020-07-23,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,69.44,249.0,9.0,30
2020-07-30,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.7,215.0,7.0,31
2020-08-06,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.7,170.0,10.0,32
2020-08-13,HT,Q790,Haiti,11402533,19.0,-72.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.7,228.0,21.0,33
2020-08-20,HT,Q790,Haiti,11402533,19.0,-72.8,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,206.0,4.0,34
2020-08-27,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.3,145.0,5.0,35
2020-09-03,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.3,165.0,11.0,36
2020-09-10,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.3,131.0,4.0,37
2020-09-17,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.3,99.0,4.0,38
2020-09-24,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,47.22,128.0,7.0,39
2020-10-01,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,47.22,108.0,2.0,40
2020-10-08,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,47.22,62.0,1.0,41
2020-10-15,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,47.22,71.0,1.0,42
2020-10-22,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,47.22,74.0,0.0,43
2020-10-29,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,47.22,55.0,1.0,44
2020-11-05,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,47.22,55.0,0.0,45
2020-11-12,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,47.22,59.0,0.0,46
2020-11-19,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,47.22,43.0,0.0,47
2020-11-26,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,47.22,53.0,0.0,48
2020-12-03,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,41.67,83.0,1.0,49
2020-12-10,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,41.67,118.0,0.0,50
2020-12-17,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,41.67,183.0,1.0,51
2020-12-24,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,28.7,198.0,1.0,52
2020-12-31,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,28.7,169.0,1.0,53
2021-01-07,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,28.7,226.0,1.0,1
2021-01-14,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,36.11,394.0,1.0,2
2021-01-21,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,36.11,400.0,5.0,3
2021-01-28,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,36.11,555.0,2.0,4
2021-02-04,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,36.11,318.0,1.0,5
2021-02-11,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,38.89,284.0,1.0,6
2021-02-18,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,38.89,133.0,0.0,7
2021-02-25,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,38.89,168.0,3.0,8
2021-03-04,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,36.11,121.0,0.0,9
2021-03-11,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,74.0,1.0,10
2021-03-18,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,48.0,0.0,11
2021-03-25,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,37.96,61.0,0.0,12
2021-04-01,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,37.96,58.0,0.0,13
2021-04-08,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,37.96,63.0,0.0,14
2021-04-15,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,37.96,81.0,2.0,15
2021-04-22,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,79.0,1.0,16
2021-04-29,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,86.0,9.0,17
2021-05-06,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,91.0,5.0,18
2021-05-13,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,265.0,6.0,19
2021-05-20,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,32.41,517.0,18.0,20
2021-05-27,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,894.0,29.0,21
2021-06-03,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,964.0,12.0,22
2021-06-10,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,880.0,27.0,23
2021-06-17,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,935.0,33.0,24
2021-06-24,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,852.0,32.0,25
2021-07-01,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,545.0,37.0,26
2021-07-08,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,405.0,39.0,27
2021-07-15,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,271.0,25.0,28
2021-07-22,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,294.0,19.0,29
2021-07-29,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,50.93,249.0,18.0,30
2021-08-05,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,53.7,215.0,13.0,31
2021-08-12,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,53.7,164.0,7.0,32
2021-08-19,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,55.56,140.0,1.0,33
2021-08-26,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,55.56,117.0,2.0,34
2021-09-02,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,177.0,2.0,35
2021-09-09,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,160.0,8.0,36
2021-09-16,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,187.0,11.0,37
2021-09-23,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,387.0,4.0,38
2021-09-30,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,481.0,23.0,39
2021-10-07,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,473.0,15.0,40
2021-10-14,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,579.0,9.0,41
2021-10-21,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,457.0,4.0,42
2021-10-28,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,210.0,23.0,43
2021-11-04,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,286.0,20.0,44
2021-11-11,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,351.0,6.0,45
2021-11-18,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,264.0,12.0,46
2021-11-25,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,228.0,15.0,47
2021-12-02,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,436.0,12.0,48
2021-12-09,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,215.0,12.0,49
2021-12-16,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,70.0,3.0,50
2021-12-23,HT,Q790,Haiti,11402533,19.0,-72.8,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,64.81,51.0,1.0,51
2021-12-30,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,239.0,7.0,52
2022-01-06,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,441.0,7.0,1
2022-01-13,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,1165.0,0.0,2
2022-01-20,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,742.0,3.0,3
2022-01-27,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,762.0,9.0,4
2022-02-03,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,509.0,12.0,5
2022-02-10,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,43.52,223.0,5.0,6
2022-02-17,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,37.96,205.0,10.0,7
2022-02-24,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,37.96,82.0,1.0,8
2022-03-03,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,37.96,58.0,5.0,9
2022-03-10,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,61.0,2.0,10
2022-03-17,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,35.0,0.0,11
2022-03-24,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,32.0,6.0,12
2022-03-31,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,43.0,0.0,13
2022-04-07,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,15.0,2.0,14
2022-04-14,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,37.0,0.0,15
2022-04-21,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,31.48,36.0,0.0,16
2022-04-28,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,31.48,44.0,0.0,17
2022-05-05,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,31.48,9.0,0.0,18
2022-05-12,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,31.48,28.0,0.0,19
2022-05-19,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,31.48,49.0,0.0,20
2022-05-26,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,29.0,0.0,21
2022-06-02,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,134.0,0.0,22
2022-06-09,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,102.0,2.0,23
2022-06-16,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,146.0,0.0,24
2022-06-23,HT,Q790,Haiti,11402533,19.0,-72.8,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,34.26,270.0,0.0,25
2022-06-30,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,297.0,0.0,26
2022-07-07,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,213.0,0.0,27
2022-07-14,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,175.0,1.0,28
2022-07-21,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,68.0,0.0,29
2022-07-28,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,138.0,0.0,30
2022-08-04,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,155.0,0.0,31
2022-08-11,HT,Q790,Haiti,11402533,19.0,-72.8,,,,,,,,,,,357.0,2.0,32
