date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,5
2020-02-06,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.89,0.0,0.0,6
2020-02-13,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,7
2020-02-20,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,10.0,0.0,8
2020-02-27,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,5.0,0.0,9
2020-03-05,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,33.33,22.0,0.0,10
2020-03-12,IL,Q801,Israel,8655541,31.0,35.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,41.67,126.0,0.0,11
