date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,IR,Q794,Iran,83992953,32.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,32.0,4.0,8
2020-02-27,IR,Q794,Iran,83992953,32.0,53.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37,360.0,39.0,9
2020-03-05,IR,Q794,Iran,83992953,32.0,53.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.59,5435.0,102.0,10
2020-03-12,IR,Q794,Iran,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,48.15,6906.0,463.0,11
2020-03-19,IR,Q794,Iran,83992953,32.0,53.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,51.85,7877.0,948.0,12
2020-03-26,IR,Q794,Iran,83992953,32.0,53.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,57.41,14798.0,961.0,13
2020-04-02,IR,Q794,Iran,83992953,32.0,53.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,57.41,20335.0,935.0,14
2020-04-09,IR,Q794,Iran,83992953,32.0,53.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,59.26,12449.0,780.0,15
2020-04-16,IR,Q794,Iran,83992953,32.0,53.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,59.26,11302.0,726.0,16
2020-04-23,IR,Q794,Iran,83992953,32.0,53.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,53.7,8700.0,616.0,17
2020-04-30,IR,Q794,Iran,83992953,32.0,53.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,53.7,7452.0,517.0,18
2020-05-07,IR,Q794,Iran,83992953,32.0,53.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,53.7,9045.0,450.0,19
2020-05-14,IR,Q794,Iran,83992953,32.0,53.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,53.7,11944.0,361.0,20
2020-05-21,IR,Q794,Iran,83992953,32.0,53.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,50.93,15017.0,398.0,21
