date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
2020-01-09,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,4
2020-01-30,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,5
2020-02-06,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6
2020-02-13,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8
2020-02-27,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,9
2020-03-05,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,10
2020-03-12,KE,Q114,Kenya,53771300,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,11
2020-03-19,KE,Q114,Kenya,53771300,0.1,38.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,59.26,6.0,0.0,12
2020-03-26,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,72.22,24.0,0.0,13
2020-04-02,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,87.04,91.0,3.0,14
2020-04-09,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,67.0,0.0,15
2020-04-16,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,57.0,3.0,16
2020-04-23,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,90.0,3.0,17
2020-04-30,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,75.0,7.0,18
2020-05-07,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,210.0,9.0,19
2020-05-14,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,160.0,16.0,20
2020-05-21,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,380.0,5.0,21
2020-05-28,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,584.0,12.0,22
2020-06-04,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,729.0,17.0,23
2020-06-11,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,88.89,831.0,17.0,24
2020-06-18,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1069.0,23.0,25
2020-06-25,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1159.0,18.0,26
2020-07-02,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,1655.0,17.0,27
2020-07-09,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,86.11,2260.0,27.0,28
2020-07-16,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,2614.0,41.0,29
2020-07-23,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4206.0,52.0,30
2020-07-30,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4368.0,67.0,31
2020-08-06,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,4502.0,72.0,32
2020-08-13,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,73.15,4196.0,52.0,33
2020-08-20,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,70.37,2429.0,67.0,34
2020-08-27,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,70.37,1867.0,35.0,35
2020-09-03,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,1254.0,22.0,36
2020-09-10,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,909.0,27.0,37
2020-09-17,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,931.0,30.0,38
2020-09-24,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,983.0,36.0,39
2020-10-01,KE,Q114,Kenya,53771300,0.1,38.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,70.37,1216.0,43.0,40
2020-10-08,KE,Q114,Kenya,53771300,0.1,38.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,50.0,1697.0,30.0,41
2020-10-15,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,2960.0,58.0,42
2020-10-22,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,4263.0,71.0,43
2020-10-29,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,43.52,5954.0,97.0,44
2020-11-05,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,54.63,6907.0,112.0,45
2020-11-12,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,7489.0,135.0,46
2020-11-19,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,7000.0,121.0,47
2020-11-26,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,51.85,6463.0,92.0,48
2020-12-03,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,5593.0,65.0,49
2020-12-10,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,3729.0,76.0,50
2020-12-17,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,2783.0,47.0,51
2020-12-24,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,1952.0,24.0,52
2020-12-31,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,901.0,28.0,53
2021-01-07,KE,Q114,Kenya,53771300,0.1,38.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,57.41,1340.0,22.0,1
2021-01-14,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,905.0,23.0,2
2021-01-21,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,910.0,14.0,3
2021-01-28,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,53.7,794.0,13.0,4
2021-02-04,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,971.0,23.0,5
2021-02-11,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,1079.0,18.0,6
2021-02-18,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,1228.0,19.0,7
2021-02-25,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,1626.0,40.0,8
2021-03-04,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,2262.0,20.0,9
2021-03-11,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,4206.0,28.0,10
2021-03-18,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,6954.0,81.0,11
2021-03-25,KE,Q114,Kenya,53771300,0.1,38.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.93,9289.0,116.0,12
2021-04-01,KE,Q114,Kenya,53771300,0.1,38.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,67.13,8715.0,88.0,13
2021-04-08,KE,Q114,Kenya,53771300,0.1,38.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,67.13,7261.0,123.0,14
