date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4
2020-01-30,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5
2020-02-06,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,6
2020-02-13,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,7
2020-02-20,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,8
2020-02-27,KW,Q817,Kuwait,4270563,29.166667,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,49.0,0.0,9
2020-03-05,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.78,16.0,0.0,10
2020-03-12,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,71.3,43.0,0.0,11
2020-03-19,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,74.07,68.0,0.0,12
2020-03-26,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,1.0,81.48,59.0,0.0,13
2020-04-02,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,1.0,81.48,244.0,1.0,14
2020-04-09,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,93.52,514.0,0.0,15
2020-04-16,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,93.52,665.0,4.0,16
2020-04-23,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,93.52,956.0,10.0,17
2020-04-30,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,88.89,1763.0,15.0,18
2020-05-07,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,88.89,2831.0,17.0,19
2020-05-14,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,5652.0,49.0,20
2020-05-21,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,6704.0,42.0,21
2020-05-28,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,5620.0,56.0,22
2020-06-04,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,5460.0,50.0,23
2020-06-11,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,83.8,4308.0,41.0,24
2020-06-18,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,83.8,3726.0,28.0,25
2020-06-25,KW,Q817,Kuwait,4270563,29.166667,47.6,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,83.8,5025.0,28.0,26
