date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,5.0,0.0,8
2020-02-27,LB,Q822,Lebanon,6825442,33.833333,35.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.33,6.0,0.0,9
2020-03-05,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,15.0,0.0,10
2020-03-12,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,55.0,3.0,11
2020-03-19,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,106.0,1.0,12
2020-03-26,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,204.0,4.0,13
2020-04-02,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,129.0,9.0,14
2020-04-09,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,89.0,3.0,15
2020-04-16,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,59.0,1.0,16
2020-04-23,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,28.0,1.0,17
2020-04-30,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,33.0,2.0,18
2020-05-07,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,81.48,67.0,2.0,19
2020-05-14,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,95.0,0.0,20
2020-05-21,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,85.19,195.0,0.0,21
2020-05-28,LB,Q822,Lebanon,6825442,33.833333,35.766667,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,77.78,86.0,0.0,22
2020-06-04,LB,Q822,Lebanon,6825442,33.833333,35.766667,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,74.07,140.0,2.0,23
2020-06-11,LB,Q822,Lebanon,6825442,33.833333,35.766667,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,74.07,110.0,3.0,24
