date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,1.0,0.0,9
2020-03-05,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,10
2020-03-12,LT,Q37,Lithuania,2794184,55.2,24.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,30.56,5.0,0.0,11
2020-03-19,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,81.48,1.0,0.0,12
2020-03-26,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,81.48,220.0,4.0,13
2020-04-02,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,81.48,344.0,3.0,14
2020-04-09,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,81.48,277.0,6.0,15
2020-04-16,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,87.04,178.0,9.0,16
2020-04-23,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,81.48,209.0,7.0,17
2020-04-30,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,81.48,86.0,4.0,18
2020-05-07,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,77.78,65.0,2.0,19
2020-05-14,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,77.78,80.0,7.0,20
2020-05-21,LT,Q37,Lithuania,2794184,55.2,24.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,75.0,82.0,5.0,21
2020-05-28,LT,Q37,Lithuania,2794184,55.2,24.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,71.3,54.0,7.0,22
2020-06-04,LT,Q37,Lithuania,2794184,55.2,24.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,71.3,42.0,1.0,23
2020-06-11,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,50.93,50.0,4.0,24
2020-06-18,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,50.93,34.0,1.0,25
2020-06-25,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,34.26,18.0,1.0,26
2020-07-02,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,34.26,21.0,1.0,27
2020-07-09,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,25.93,34.0,0.0,28
2020-07-16,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,25.93,57.0,1.0,29
2020-07-23,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,25.93,42.0,0.0,30
2020-07-30,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,28.7,132.0,0.0,31
2020-08-06,LT,Q37,Lithuania,2794184,55.2,24.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,28.7,139.0,1.0,32
