date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.11,0.0,0.0,4
2020-01-30,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.11,0.0,0.0,5
2020-02-06,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.11,0.0,0.0,6
2020-02-13,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.11,0.0,0.0,7
2020-02-20,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,6.0,0.0,10
2020-03-12,MA,Q1028,Morocco,36910558,32.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,5.0,1.0,11
2020-03-19,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,55.56,75.0,2.0,12
2020-03-26,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,272.0,20.0,13
2020-04-02,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,486.0,27.0,14
2020-04-09,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,604.0,57.0,15
2020-04-16,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,1116.0,28.0,16
2020-04-23,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,1194.0,23.0,17
2020-04-30,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,811.0,13.0,18
2020-05-07,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,1142.0,15.0,19
2020-05-14,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,941.0,4.0,20
2020-05-21,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,680.0,7.0,21
2020-05-28,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,93.52,382.0,5.0,22
2020-06-04,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,357.0,6.0,23
2020-06-11,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,539.0,4.0,24
2020-06-18,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,76.85,1003.0,1.0,25
2020-06-25,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,76.85,2020.0,5.0,26
2020-07-02,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,68.52,1655.0,12.0,27
2020-07-09,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,68.52,2040.0,13.0,28
2020-07-16,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,68.52,1398.0,21.0,29
2020-07-23,MA,Q1028,Morocco,36910558,32.0,-6.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,68.52,2108.0,35.0,30
