date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,MN,Q711,Mongolia,3278292,47.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,MN,Q711,Mongolia,3278292,47.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,MN,Q711,Mongolia,3278292,47.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,MN,Q711,Mongolia,3278292,47.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,0.0,0.0,4
2020-01-30,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,58.33,0.0,0.0,5
2020-02-06,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,58.33,0.0,0.0,6
2020-02-13,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,58.33,0.0,0.0,7
2020-02-20,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,58.33,0.0,0.0,8
2020-02-27,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,75.0,0.0,0.0,9
2020-03-05,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,75.0,0.0,0.0,10
2020-03-12,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,68.06,1.0,0.0,11
2020-03-19,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,68.06,9.0,0.0,12
2020-03-26,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,61.11,2.0,0.0,13
2020-04-02,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,66.67,2.0,0.0,14
2020-04-09,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,69.44,2.0,0.0,15
2020-04-16,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,69.44,15.0,0.0,16
2020-04-23,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,69.44,5.0,0.0,17
2020-04-30,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,77.78,2.0,0.0,18
2020-05-07,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,85.19,4.0,0.0,19
2020-05-14,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,77.78,93.0,0.0,20
2020-05-21,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,75.0,6.0,0.0,21
2020-05-28,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,75.0,38.0,0.0,22
2020-06-04,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,75.0,12.0,0.0,23
2020-06-11,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,71.3,6.0,0.0,24
2020-06-18,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,71.3,7.0,0.0,25
2020-06-25,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,71.3,15.0,0.0,26
2020-07-02,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,71.3,1.0,0.0,27
2020-07-09,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,7.0,0.0,28
2020-07-16,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,60.0,0.0,29
2020-07-23,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,1.0,0.0,30
2020-07-30,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,3.0,0.0,31
2020-08-06,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,2.0,0.0,32
2020-08-13,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,5.0,0.0,33
2020-08-20,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,0.0,0.0,34
2020-08-27,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,3.0,0.0,35
2020-09-03,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,60.19,9.0,0.0,36
2020-09-10,MN,Q711,Mongolia,3278292,47.0,104.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,56.48,1.0,0.0,37
2020-09-17,MN,Q711,Mongolia,3278292,47.0,104.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,56.48,0.0,0.0,38
2020-09-24,MN,Q711,Mongolia,3278292,47.0,104.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,46.3,2.0,0.0,39
2020-10-01,MN,Q711,Mongolia,3278292,47.0,104.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,46.3,0.0,0.0,40
2020-10-08,MN,Q711,Mongolia,3278292,47.0,104.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,42.59,2.0,0.0,41
2020-10-15,MN,Q711,Mongolia,3278292,47.0,104.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,42.59,5.0,0.0,42
2020-10-22,MN,Q711,Mongolia,3278292,47.0,104.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,40.74,8.0,0.0,43
2020-10-29,MN,Q711,Mongolia,3278292,47.0,104.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,40.74,12.0,0.0,44
2020-11-05,MN,Q711,Mongolia,3278292,47.0,104.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,35.19,16.0,0.0,45
2020-11-12,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,85.19,56.0,0.0,46
2020-11-19,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,85.19,145.0,0.0,47
2020-11-26,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,85.19,181.0,0.0,48
2020-12-03,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,85.19,93.0,0.0,49
2020-12-10,MN,Q711,Mongolia,3278292,47.0,104.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,85.19,74.0,0.0,50
