date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
2020-01-09,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
2020-01-16,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3
2020-01-23,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
2020-01-30,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5
2020-02-06,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6
2020-02-13,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7
2020-02-20,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8
2020-02-27,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9
2020-03-05,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,6.0,0.0,10
2020-03-12,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,3.0,0.0,11
2020-03-19,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,8.0,0.0,12
2020-03-26,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13
2020-04-02,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,2.0,0.0,14
2020-04-09,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15
2020-04-16,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,15.0,0.0,16
2020-04-23,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,103.0,0.0,17
2020-04-30,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,382.0,1.0,18
2020-05-07,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,266.0,2.0,19
2020-05-14,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,283.0,1.0,20
2020-05-21,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,245.0,0.0,21
2020-05-28,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,320.0,1.0,22
2020-06-04,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,268.0,3.0,23
2020-06-11,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,112.0,0.0,24
2020-06-18,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,174.0,0.0,25
2020-06-25,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,118.0,0.0,26
2020-07-02,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,130.0,2.0,27
2020-07-09,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,229.0,3.0,28
2020-07-16,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,266.0,2.0,29
2020-07-23,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,322.0,0.0,30
2020-07-30,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,697.0,2.0,31
2020-08-06,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,949.0,2.0,32
2020-08-13,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,781.0,3.0,33
2020-08-20,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,981.0,4.0,34
2020-08-27,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,918.0,2.0,35
2020-09-03,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,908.0,1.0,36
2020-09-10,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,566.0,2.0,37
2020-09-17,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,597.0,2.0,38
2020-09-24,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,396.0,1.0,39
2020-10-01,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,420.0,0.0,40
2020-10-08,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,394.0,0.0,41
2020-10-15,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,319.0,2.0,42
2020-10-22,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,243.0,1.0,43
2020-10-29,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,238.0,1.0,44
2020-11-05,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,303.0,1.0,45
2020-11-12,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,192.0,3.0,46
2020-11-19,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,424.0,3.0,47
2020-11-26,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,369.0,1.0,48
2020-12-03,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,212.0,1.0,49
2020-12-10,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,189.0,1.0,50
2020-12-17,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,126.0,0.0,51
2020-12-24,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,144.0,0.0,52
2020-12-31,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,216.0,0.0,53
2021-01-07,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,231.0,1.0,1
2021-01-14,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,397.0,0.0,2
2021-01-21,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,423.0,1.0,3
2021-01-28,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,851.0,1.0,4
2021-02-04,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,920.0,3.0,5
2021-02-11,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1060.0,2.0,6
2021-02-18,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,896.0,4.0,7
2021-02-25,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,985.0,1.0,8
2021-03-04,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1066.0,3.0,9
2021-03-11,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,813.0,0.0,10
2021-03-18,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,897.0,1.0,11
2021-03-25,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1030.0,1.0,12
2021-04-01,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1248.0,1.0,13
2021-04-08,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,873.0,0.0,14
2021-04-15,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,621.0,2.0,15
2021-04-22,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1476.0,2.0,16
2021-04-29,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,2616.0,2.0,17
2021-05-06,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,4487.0,10.0,18
2021-05-13,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,9058.0,11.0,19
2021-05-20,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,10583.0,29.0,20
2021-05-27,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,8541.0,34.0,21
2021-06-03,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,4632.0,25.0,22
2021-06-10,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,2539.0,13.0,23
2021-06-17,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1632.0,10.0,24
2021-06-24,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1385.0,4.0,25
2021-07-01,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1130.0,4.0,26
2021-07-08,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,769.0,0.0,27
2021-07-15,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,823.0,3.0,28
2021-07-22,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,811.0,3.0,29
2021-07-29,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,805.0,2.0,30
2021-08-05,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,811.0,1.0,31
2021-08-12,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,757.0,0.0,32
2021-08-19,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,864.0,0.0,33
2021-08-26,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,814.0,3.0,34
2021-09-02,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1132.0,1.0,35
2021-09-09,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,874.0,1.0,36
2021-09-16,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,810.0,2.0,37
2021-09-23,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,796.0,2.0,38
2021-09-30,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,681.0,0.0,39
2021-10-07,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,494.0,3.0,40
2021-10-14,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,623.0,3.0,41
2021-10-21,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,742.0,3.0,42
2021-10-28,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,808.0,3.0,43
2021-11-04,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,997.0,2.0,44
2021-11-11,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1078.0,2.0,45
2021-11-18,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,888.0,1.0,46
2021-11-25,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,749.0,0.0,47
2021-12-02,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,745.0,5.0,48
2021-12-09,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,969.0,3.0,49
2021-12-16,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,800.0,3.0,50
2021-12-23,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,868.0,2.0,51
2021-12-30,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1159.0,1.0,52
2022-01-06,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1777.0,2.0,1
2022-01-13,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,4704.0,1.0,2
2022-01-20,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,12605.0,4.0,3
2022-01-27,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,18311.0,5.0,4
2022-02-03,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,15292.0,7.0,5
2022-02-10,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,9451.0,7.0,6
2022-02-17,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,6198.0,2.0,7
2022-02-24,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,4919.0,6.0,8
2022-03-03,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,3122.0,1.0,9
2022-03-10,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,2097.0,0.0,10
2022-03-17,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1471.0,0.0,11
2022-03-24,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,1162.0,1.0,12
2022-03-31,MV,Q826,Maldives,540542,4.18,73.51,0,0,0,0,0,0,0,0,0,0,665.0,0.0,13
