date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2020-01-09,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,7
2020-02-20,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,8
2020-02-27,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,9
2020-03-05,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,10
2020-03-12,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,11
2020-03-19,MZ,Q1029,Mozambique,31255435,-19.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.89,0.0,0.0,12
2020-03-26,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,47.22,7.0,0.0,13
2020-04-02,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,2.0,0.0,14
2020-04-09,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,10.0,0.0,15
2020-04-16,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,11.0,0.0,16
2020-04-23,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,34.0,0.0,17
2020-04-30,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,15.0,0.0,18
2020-05-07,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,2.0,0.0,19
2020-05-14,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,37.0,0.0,20
2020-05-21,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,56.48,45.0,0.0,21
2020-05-28,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,69.44,70.0,1.0,22
2020-06-04,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,75.0,120.0,0.0,23
2020-06-11,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,75.0,155.0,0.0,24
2020-06-18,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,75.0,159.0,2.0,25
2020-06-25,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,75.0,148.0,1.0,26
2020-07-02,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,123.0,1.0,27
2020-07-09,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,172.0,3.0,28
2020-07-16,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,291.0,0.0,29
2020-07-23,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,188.0,2.0,30
2020-07-30,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,274.0,0.0,31
2020-08-06,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,57.41,349.0,6.0,32
2020-08-13,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,495.0,2.0,33
2020-08-20,MZ,Q1029,Mozambique,31255435,-19.0,35.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,80.56,487.0,1.0,34
2020-08-27,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,502.0,1.0,35
2020-09-03,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,568.0,5.0,36
2020-09-10,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,653.0,5.0,37
2020-09-17,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,1346.0,9.0,38
2020-09-24,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,1325.0,13.0,39
2020-10-01,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,74.07,1390.0,11.0,40
2020-10-08,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,70.37,763.0,5.0,41
2020-10-15,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,70.37,870.0,4.0,42
2020-10-22,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,70.37,1136.0,9.0,43
2020-10-29,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,59.26,1029.0,9.0,44
2020-11-05,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,56.48,708.0,8.0,45
2020-11-12,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,55.09,742.0,11.0,46
2020-11-19,MZ,Q1029,Mozambique,31255435,-19.0,35.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,56.48,650.0,11.0,47
