date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1
2020-01-09,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-19,NE,Q1032,Niger,24206636,17.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,41.67,0.0,0.0,12
2020-03-26,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,52.78,17.0,0.0,13
2020-04-02,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,126.0,2.0,14
2020-04-09,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,347.0,1.0,15
2020-04-16,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,148.0,0.0,16
2020-04-23,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,42.0,0.0,17
2020-04-30,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,47.0,0.0,18
2020-05-07,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,67.0,11.0,19
2020-05-14,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,61.11,90.0,6.0,20
2020-05-21,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,33.33,52.0,9.0,21
2020-05-28,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,33.33,19.0,4.0,22
2020-06-04,NE,Q1032,Niger,24206636,17.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,33.33,10.0,1.0,23
2020-06-11,NE,Q1032,Niger,24206636,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.93,12.0,0.0,24
2020-06-18,NE,Q1032,Niger,24206636,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.93,48.0,2.0,25
2020-06-25,NE,Q1032,Niger,24206636,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.93,36.0,0.0,26
2020-07-02,NE,Q1032,Niger,24206636,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.93,20.0,1.0,27
2020-07-09,NE,Q1032,Niger,24206636,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.93,17.0,0.0,28
