date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,1.0,0.0,9
2020-03-05,NL,Q55,Netherlands,17282163,52.316667,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56,80.0,0.0,10
2020-03-12,NL,Q55,Netherlands,17282163,52.316667,5.55,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,45.37,636.0,7.0,11
2020-03-19,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,61.11,2226.0,98.0,12
2020-03-26,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,5561.0,437.0,13
2020-04-02,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,7056.0,916.0,14
2020-04-09,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,7322.0,1022.0,15
2020-04-16,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,7326.0,949.0,16
2020-04-23,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,6060.0,832.0,17
2020-04-30,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,3269.0,604.0,18
2020-05-07,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,2294.0,466.0,19
2020-05-14,NL,Q55,Netherlands,17282163,52.316667,5.55,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,78.7,1603.0,285.0,20
2020-05-21,NL,Q55,Netherlands,17282163,52.316667,5.55,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,71.3,1203.0,146.0,21
2020-05-28,NL,Q55,Netherlands,17282163,52.316667,5.55,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,71.3,1242.0,135.0,22
2020-06-04,NL,Q55,Netherlands,17282163,52.316667,5.55,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,71.3,1014.0,74.0,23
2020-06-11,NL,Q55,Netherlands,17282163,52.316667,5.55,2.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,62.96,1309.0,53.0,24
2020-06-18,NL,Q55,Netherlands,17282163,52.316667,5.55,2.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,62.96,963.0,28.0,25
2020-06-25,NL,Q55,Netherlands,17282163,52.316667,5.55,1.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,59.26,606.0,23.0,26
2020-07-02,NL,Q55,Netherlands,17282163,52.316667,5.55,1.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,59.26,489.0,17.0,27
2020-07-09,NL,Q55,Netherlands,17282163,52.316667,5.55,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,39.81,394.0,18.0,28
2020-07-16,NL,Q55,Netherlands,17282163,52.316667,5.55,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,39.81,686.0,20.0,29
