date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4
2020-01-30,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5
2020-02-06,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,6
2020-02-13,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,7
2020-02-20,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8
2020-02-27,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,6.0,0.0,9
2020-03-05,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,10.0,0.0,10
2020-03-12,OM,Q842,Oman,5106622,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,4.0,0.0,11
2020-03-19,OM,Q842,Oman,5106622,21.0,57.0,3.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,77.78,28.0,0.0,12
2020-03-26,OM,Q842,Oman,5106622,21.0,57.0,3.0,1.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,81.48,83.0,0.0,13
2020-04-02,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,121.0,1.0,14
2020-04-09,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,85.19,232.0,2.0,15
2020-04-16,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,585.0,3.0,16
2020-04-23,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,721.0,4.0,17
2020-04-30,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,92.59,657.0,1.0,18
2020-05-07,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,665.0,5.0,19
2020-05-14,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,1513.0,4.0,20
2020-05-21,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,2169.0,14.0,21
2020-05-28,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,3026.0,7.0,22
2020-06-04,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,5266.0,31.0,23
2020-06-11,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,86.11,5985.0,24.0,24
2020-06-18,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,6599.0,29.0,25
2020-06-25,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,8364.0,28.0,26
2020-07-02,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,7895.0,40.0,27
2020-07-09,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,9685.0,51.0,28
2020-07-16,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,10579.0,54.0,29
2020-07-23,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,87.96,9598.0,61.0,30
2020-07-30,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,5368.0,62.0,31
2020-08-06,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,94.44,1908.0,81.0,32
2020-08-13,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,94.44,1676.0,55.0,33
2020-08-20,OM,Q842,Oman,5106622,21.0,57.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,89.81,1026.0,52.0,34
2020-08-27,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1236.0,41.0,35
2020-09-03,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1375.0,55.0,36
2020-09-10,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,1957.0,57.0,37
2020-09-17,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,3416.0,56.0,38
2020-09-24,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,4154.0,67.0,39
2020-10-01,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,2678.0,50.0,40
2020-10-08,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,5544.0,74.0,41
2020-10-15,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,86.11,4167.0,62.0,42
2020-10-22,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,78.7,3541.0,76.0,43
2020-10-29,OM,Q842,Oman,5106622,21.0,57.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,57.41,2597.0,61.0,44
2020-11-05,OM,Q842,Oman,5106622,21.0,57.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,50.0,2733.0,78.0,45
2020-11-12,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,2275.0,40.0,46
2020-11-19,OM,Q842,Oman,5106622,21.0,57.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,42.59,1918.0,39.0,47
