date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,4
2020-01-30,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,5
2020-02-06,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,6
2020-02-13,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,7
2020-02-20,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,8
2020-02-27,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,9
2020-03-05,PA,Q804,Panama,4314768,8.616667,-80.366667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,10
2020-03-12,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.44,27.0,1.0,11
2020-03-19,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,51.85,110.0,0.0,12
2020-03-26,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,79.63,537.0,8.0,13
2020-04-02,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,79.63,801.0,28.0,14
2020-04-09,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,90.74,1277.0,29.0,15
2020-04-16,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,90.74,1264.0,43.0,16
2020-04-23,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,1150.0,37.0,17
2020-04-30,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,1366.0,42.0,18
2020-05-07,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,1336.0,37.0,19
2020-05-14,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,93.52,1250.0,35.0,20
2020-05-21,PA,Q804,Panama,4314768,8.616667,-80.366667,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,998.0,31.0,21
