date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
2020-02-06,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.33,0.0,0.0,6
2020-02-13,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,0.0,0.0,7
2020-02-20,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.11,0.0,0.0,8
2020-02-27,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.7,8.0,0.0,9
2020-03-05,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.7,1.0,0.0,10
2020-03-12,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.7,16.0,0.0,11
2020-03-19,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,52.78,470.0,3.0,12
2020-03-26,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,96.3,740.0,6.0,13
2020-04-02,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,96.3,1486.0,30.0,14
2020-04-09,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,96.3,2021.0,33.0,15
2020-04-16,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,96.3,2198.0,74.0,16
2020-04-23,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,3972.0,110.0,17
2020-04-30,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,89.81,5246.0,133.0,18
2020-05-07,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,8246.0,209.0,19
2020-05-14,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,11715.0,211.0,20
2020-05-21,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,89.81,12303.0,247.0,21
2020-05-28,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,82.41,13136.0,244.0,22
2020-06-04,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,82.41,22914.0,510.0,23
2020-06-11,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,69.44,35183.0,586.0,24
2020-06-18,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,61.11,40582.0,738.0,25
2020-06-25,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,61.11,32852.0,810.0,26
2020-07-02,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,24860.0,571.0,27
2020-07-09,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,23039.0,510.0,28
2020-07-16,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,17082.0,440.0,29
2020-07-23,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,11277.0,283.0,30
2020-07-30,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,8211.0,215.0,31
2020-08-06,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,66.67,4461.0,111.0,32
2020-08-13,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,66.67,4811.0,96.0,33
2020-08-20,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,47.69,4274.0,70.0,34
2020-08-27,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,47.69,3613.0,57.0,35
2020-09-03,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,47.69,2459.0,50.0,36
2020-09-10,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,47.69,3136.0,35.0,37
2020-09-17,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,47.69,3979.0,38.0,38
2020-09-24,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,41.2,4629.0,36.0,39
2020-10-01,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,67.13,4413.0,55.0,40
2020-10-08,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,67.13,4164.0,53.0,41
2020-10-15,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,67.13,4283.0,70.0,42
2020-10-22,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,53.24,4398.0,90.0,43
2020-10-29,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,53.24,5970.0,80.0,44
2020-11-05,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,53.24,8065.0,128.0,45
2020-11-12,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,53.24,12045.0,169.0,46
2020-11-19,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,47.69,16369.0,192.0,47
2020-11-26,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,20646.0,336.0,48
2020-12-03,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,20751.0,364.0,49
2020-12-10,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,22255.0,394.0,50
2020-12-17,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,19167.0,511.0,51
2020-12-24,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,15840.0,591.0,52
2020-12-31,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,14956.0,423.0,53
2021-01-07,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,15333.0,383.0,1
2021-01-14,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,16828.0,305.0,2
2021-01-21,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,64.35,14553.0,341.0,3
2021-01-28,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,57.87,12140.0,356.0,4
2021-02-04,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,57.87,10807.0,328.0,5
2021-02-11,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,50.46,8521.0,332.0,6
2021-02-18,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,50.46,8354.0,310.0,7
2021-02-25,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,50.46,8977.0,277.0,8
2021-03-04,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,50.46,9532.0,325.0,9
2021-03-11,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,50.46,13184.0,303.0,10
2021-03-18,PK,Q843,Pakistan,220892331,30.0,71.0,0.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,50.46,19061.0,327.0,11
2021-03-25,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,56.02,26097.0,334.0,12
2021-04-01,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,56.02,32809.0,524.0,13
2021-04-08,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,56.02,32664.0,616.0,14
2021-04-15,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,58.8,34531.0,753.0,15
2021-04-22,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,78.24,38926.0,861.0,16
2021-04-29,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,78.24,36716.0,970.0,17
2021-05-06,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,78.24,29309.0,866.0,18
2021-05-13,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,78.24,23076.0,707.0,19
2021-05-20,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,64.35,20241.0,705.0,20
2021-05-27,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,64.35,20336.0,518.0,21
2021-06-03,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,63.43,14804.0,498.0,22
2021-06-10,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,68.98,10149.0,471.0,23
2021-06-17,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,65.74,7490.0,337.0,24
2021-06-24,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,56.48,6690.0,242.0,25
2021-07-01,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,63.89,6778.0,193.0,26
2021-07-08,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,69.44,9742.0,173.0,27
2021-07-15,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,69.44,14058.0,200.0,28
2021-07-22,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,69.44,16149.0,218.0,29
2021-07-29,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,69.44,24827.0,354.0,30
2021-08-05,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,70.37,33544.0,407.0,31
2021-08-12,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,70.37,31508.0,564.0,32
2021-08-19,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,70.37,26973.0,517.0,33
2021-08-26,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,68.52,27541.0,632.0,34
2021-09-02,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,68.52,27187.0,620.0,35
2021-09-09,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,68.52,26309.0,545.0,36
2021-09-16,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,71.3,20854.0,492.0,37
2021-09-23,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,68.52,16079.0,410.0,38
2021-09-30,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,58.8,11710.0,303.0,39
2021-10-07,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,47.69,9695.0,273.0,40
2021-10-14,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,50.46,6538.0,170.0,41
2021-10-21,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,50.46,4622.0,116.0,42
2021-10-28,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,45.37,4294.0,87.0,43
2021-11-04,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,44.91,3986.0,78.0,44
2021-11-11,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,44.91,3469.0,77.0,45
2021-11-18,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,44.91,2098.0,64.0,46
2021-11-25,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,44.91,2234.0,48.0,47
2021-12-02,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,44.91,2547.0,56.0,48
2021-12-09,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,2344.0,59.0,49
2021-12-16,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,2126.0,51.0,50
2021-12-23,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,2237.0,35.0,51
2021-12-30,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,2648.0,29.0,52
2022-01-06,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,5764.0,34.0,1
2022-01-13,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,54.17,14693.0,38.0,2
2022-01-20,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,37645.0,66.0,3
2022-01-27,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,48596.0,127.0,4
2022-02-03,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,46570.0,228.0,5
2022-02-10,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,28813.0,269.0,6
2022-02-17,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,19219.0,263.0,7
2022-02-24,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,9757.0,189.0,8
2022-03-03,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,6257.0,109.0,9
2022-03-10,PK,Q843,Pakistan,220892331,30.0,71.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,65.28,4805.0,50.0,10
2022-03-17,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,77.78,3305.0,28.0,11
2022-03-24,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,2371.0,10.0,12
2022-03-31,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,1572.0,23.0,13
2022-04-07,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,1261.0,2.0,14
2022-04-14,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,841.0,2.0,15
2022-04-21,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,594.0,5.0,16
2022-04-28,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,287.0,1.0,17
2022-05-05,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,0.0,0.0,18
2022-05-12,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,426.0,4.0,19
2022-05-19,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,559.0,3.0,20
2022-05-26,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,504.0,0.0,21
2022-06-02,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,411.0,0.0,22
2022-06-09,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,483.0,2.0,23
2022-06-16,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,636.0,2.0,24
2022-06-23,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,1368.0,2.0,25
2022-06-30,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,3432.0,10.0,26
2022-07-07,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,5166.0,18.0,27
2022-07-14,PK,Q843,Pakistan,220892331,30.0,71.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,77.78,3265.0,15.0,28
2022-07-21,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,4163.0,34.0,29
2022-07-28,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,4252.0,21.0,30
2022-08-04,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,4659.0,22.0,31
2022-08-11,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,3695.0,15.0,32
2022-08-18,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,3740.0,28.0,33
2022-08-25,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,2574.0,21.0,34
2022-09-01,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,1644.0,17.0,35
2022-09-08,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,1259.0,12.0,36
2022-09-15,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,19519.0,7.0,37
2022-09-22,PK,Q843,Pakistan,220892331,30.0,71.0,,,,,,,,,,,0.0,0.0,38
