date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4
2020-01-30,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5
2020-02-06,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,6
2020-02-13,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,7
2020-02-20,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,8
2020-02-27,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,9
2020-03-05,PL,Q36,Poland,37972812,52.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.0,0.0,10
2020-03-12,PL,Q36,Poland,37972812,52.0,19.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,41.67,63.0,2.0,11
2020-03-19,PL,Q36,Poland,37972812,52.0,19.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,57.41,357.0,3.0,12
