date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,5
2020-02-06,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6
2020-02-13,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8
2020-02-27,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,9
2020-03-05,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.89,0.0,0.0,10
2020-03-12,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.7,7.0,0.0,11
2020-03-19,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,0.0,0.0,12
2020-03-26,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,57.0,2.0,13
2020-04-02,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,93.52,314.0,13.0,14
2020-04-09,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,93.52,347.0,24.0,15
2020-04-16,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,93.52,343.0,19.0,16
2020-04-23,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,93.52,208.0,19.0,17
2020-04-30,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,93.52,299.0,17.0,18
2020-05-07,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,93.52,581.0,13.0,19
2020-05-14,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,89.81,386.0,15.0,20
2020-05-21,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,89.81,488.0,4.0,21
2020-05-28,PR,Q1183,Puerto Rico,2860840,18.25,-66.5,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,89.81,617.0,6.0,22
