date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1
2020-01-09,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-19,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,12
2020-03-26,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,36.11,0.0,0.0,13
2020-04-02,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,57.41,1.0,0.0,14
2020-04-09,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,88.89,6.0,0.0,15
2020-04-16,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,75.93,18.0,0.0,16
2020-04-23,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,81.48,57.0,2.0,17
2020-04-30,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,81.48,53.0,5.0,18
2020-05-07,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,88.89,121.0,9.0,19
2020-05-14,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,70.37,190.0,10.0,20
2020-05-21,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,70.37,159.0,11.0,21
2020-05-28,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,70.37,223.0,7.0,22
2020-06-04,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,70.37,100.0,2.0,23
2020-06-11,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,70.37,174.0,4.0,24
2020-06-18,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,53.7,195.0,2.0,25
2020-06-25,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,53.7,96.0,6.0,26
2020-07-02,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,53.7,130.0,3.0,27
2020-07-09,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,46.3,89.0,1.0,28
2020-07-16,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,46.3,75.0,1.0,29
2020-07-23,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,40.74,77.0,0.0,30
2020-07-30,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,32.41,58.0,3.0,31
2020-08-06,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,32.41,64.0,1.0,32
2020-08-13,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,32.41,60.0,1.0,33
2020-08-20,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,36.11,25.0,0.0,34
2020-08-27,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,33.33,43.0,1.0,35
2020-09-03,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,33.33,26.0,1.0,36
2020-09-10,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,33.33,46.0,1.0,37
2020-09-17,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,33.33,66.0,0.0,38
2020-09-24,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,29.63,46.0,0.0,39
2020-10-01,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,29.63,53.0,0.0,40
2020-10-08,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,29.63,43.0,0.0,41
2020-10-15,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,30.0,1.0,42
2020-10-22,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,18.0,1.0,43
2020-10-29,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,22.0,0.0,44
2020-11-05,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,8.0,0.0,45
2020-11-12,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,31.48,16.0,0.0,46
2020-11-19,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,40.74,10.0,0.0,47
2020-11-26,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,40.74,11.0,0.0,48
2020-12-03,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,40.74,10.0,0.0,49
2020-12-10,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,18.0,1.0,50
2020-12-17,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,48.0,0.0,51
2020-12-24,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,63.0,0.0,52
2020-12-31,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,86.0,0.0,53
2021-01-07,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,147.0,1.0,1
2021-01-14,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,177.0,0.0,2
2021-01-21,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,37.04,134.0,0.0,3
2021-01-28,SL,Q1044,Sierra Leone,7976985,8.5,-12.1,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,60.19,289.0,2.0,4
