date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,1
2020-01-09,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10
2020-03-12,SN,Q1041,Senegal,16743930,14.366667,-14.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,11
2020-03-19,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,47.22,34.0,0.0,12
2020-03-26,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,84.0,0.0,13
2020-04-02,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,79.0,0.0,14
2020-04-09,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,58.0,0.0,15
2020-04-16,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,53.0,0.0,16
2020-04-23,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,173.0,0.0,17
2020-04-30,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,469.0,0.0,18
2020-05-07,SN,Q1041,Senegal,16743930,14.366667,-14.283333,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,77.78,576.0,0.0,19
