date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1
2020-01-09,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,9
2020-03-05,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,10
2020-03-12,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.56,0.0,0.0,11
2020-03-19,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,38.89,0.0,0.0,12
2020-03-26,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,60.19,0.0,0.0,13
2020-04-02,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,73.15,0.0,0.0,14
2020-04-09,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,73.15,3.0,0.0,15
2020-04-16,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,84.26,0.0,0.0,16
2020-04-23,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,86.11,1.0,0.0,17
2020-04-30,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,86.11,40.0,0.0,18
2020-05-07,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,86.11,75.0,0.0,19
2020-05-14,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,78.7,162.0,0.0,20
2020-05-21,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,73.15,281.0,2.0,21
2020-05-28,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,73.15,507.0,5.0,22
2020-06-04,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,364.0,9.0,23
2020-06-11,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,250.0,5.0,24
2020-06-18,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,180.0,9.0,25
2020-06-25,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,94.0,2.0,26
2020-07-02,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,100.0,2.0,27
2020-07-09,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,85.19,81.0,3.0,28
2020-07-16,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,80.56,61.0,2.0,29
2020-07-23,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,80.56,62.0,2.0,30
2020-07-30,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,80.56,156.0,1.0,31
2020-08-06,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,81.48,52.0,1.0,32
2020-08-13,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,81.48,18.0,0.0,33
2020-08-20,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,81.48,11.0,0.0,34
2020-08-27,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,77.78,25.0,0.0,35
2020-09-03,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,77.78,20.0,1.0,36
2020-09-10,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,75.0,34.0,1.0,37
2020-09-17,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,69.44,64.0,0.0,38
2020-09-24,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,65.74,44.0,0.0,39
2020-10-01,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,45.37,40.0,1.0,40
2020-10-08,SS,Q958,South Sudan,11193729,7.0,30.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,45.37,51.0,5.0,41
2020-10-15,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,41.67,40.0,0.0,42
2020-10-22,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,41.67,61.0,1.0,43
2020-10-29,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,41.67,33.0,3.0,44
2020-11-05,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,41.67,49.0,0.0,45
2020-11-12,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,41.67,52.0,0.0,46
2020-11-19,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,47.22,72.0,1.0,47
2020-11-26,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,47.22,20.0,0.0,48
2020-12-03,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,52.78,62.0,0.0,49
2020-12-10,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,52.78,34.0,1.0,50
2020-12-17,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,49.07,28.0,0.0,51
2020-12-24,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,46.3,263.0,0.0,52
2020-12-31,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,46.3,74.0,1.0,53
2021-01-07,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,47.22,75.0,0.0,1
2021-01-14,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,47.22,93.0,0.0,2
2021-01-21,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,43.52,94.0,1.0,3
2021-01-28,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,43.52,173.0,0.0,4
2021-02-04,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,425.0,2.0,5
2021-02-11,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,77.78,885.0,7.0,6
2021-02-18,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,77.78,1107.0,11.0,7
2021-02-25,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,77.78,1365.0,8.0,8
2021-03-04,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,77.78,906.0,9.0,9
2021-03-11,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,77.78,752.0,2.0,10
2021-03-18,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,77.78,420.0,2.0,11
2021-03-25,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,219.0,2.0,12
2021-04-01,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,176.0,4.0,13
2021-04-08,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,104.0,2.0,14
2021-04-15,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,93.0,0.0,15
2021-04-22,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,63.0,0.0,16
2021-04-29,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,68.0,1.0,17
2021-05-06,SS,Q958,South Sudan,11193729,7.0,30.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,72.22,54.0,0.0,18
2021-05-13,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,68.52,15.0,0.0,19
2021-05-20,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,68.52,18.0,0.0,20
2021-05-27,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,68.52,18.0,0.0,21
2021-06-03,SS,Q958,South Sudan,11193729,7.0,30.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,68.52,0.0,0.0,22
2021-06-10,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,25.0,0.0,0.0,23
2021-06-17,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,25.0,85.0,0.0,24
2021-06-24,SS,Q958,South Sudan,11193729,7.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,25.0,51.0,1.0,25
