date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,4
2020-01-30,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,5
2020-02-06,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,6
2020-02-13,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,7
2020-02-20,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,8
2020-02-27,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,9
2020-03-05,SV,Q792,El Salvador,6486201,13.668889,-88.866111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.44,0.0,0.0,10
2020-03-12,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,44.44,0.0,0.0,11
2020-03-19,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,65.74,1.0,0.0,12
2020-03-26,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,0.0,88.89,12.0,0.0,13
2020-04-02,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,0.0,88.89,33.0,2.0,14
2020-04-09,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,0.0,88.89,71.0,4.0,15
2020-04-16,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,0.0,88.89,60.0,1.0,16
2020-04-23,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,0.0,94.44,84.0,1.0,17
2020-04-30,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,0.0,94.44,163.0,2.0,18
2020-05-07,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,100.0,318.0,5.0,19
2020-05-14,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,100.0,468.0,8.0,20
2020-05-21,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,515.0,10.0,21
2020-05-28,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,553.0,9.0,22
2020-06-04,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,100.0,571.0,11.0,23
2020-06-11,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,96.3,632.0,15.0,24
2020-06-18,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,96.3,848.0,18.0,25
2020-06-25,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,90.74,1188.0,47.0,26
2020-07-02,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,90.74,1750.0,69.0,27
2020-07-09,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,1875.0,47.0,28
2020-07-16,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,2065.0,60.0,29
2020-07-23,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,2585.0,70.0,30
2020-07-30,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,2840.0,69.0,31
2020-08-06,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,2912.0,72.0,32
2020-08-13,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,2770.0,75.0,33
2020-08-20,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,1886.0,51.0,34
2020-08-27,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,89.81,1215.0,56.0,35
2020-09-03,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,684.0,42.0,36
2020-09-10,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,674.0,33.0,37
2020-09-17,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,573.0,27.0,38
2020-09-24,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,1069.0,19.0,39
2020-10-01,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,61.11,760.0,30.0,40
2020-10-08,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,776.0,28.0,41
2020-10-15,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1314.0,31.0,42
2020-10-22,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1156.0,28.0,43
2020-10-29,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1024.0,31.0,44
2020-11-05,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1521.0,31.0,45
2020-11-12,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1229.0,31.0,46
2020-11-19,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1055.0,31.0,47
2020-11-26,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,52.78,1155.0,38.0,48
2020-12-03,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,1313.0,40.0,49
2020-12-10,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,1023.0,44.0,50
2020-12-17,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,1656.0,48.0,51
2020-12-24,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,2222.0,55.0,52
2020-12-31,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,1341.0,54.0,53
2021-01-07,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,2295.0,55.0,1
2021-01-14,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,1902.0,71.0,2
2021-01-21,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,47.22,2515.0,71.0,3
2021-01-28,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,47.22,1317.0,64.0,4
2021-02-04,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,46.3,2036.0,58.0,5
2021-02-11,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,46.3,628.0,65.0,6
2021-02-18,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,46.3,1893.0,58.0,7
2021-02-25,SV,Q792,El Salvador,6486201,13.668889,-88.866111,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,46.3,1320.0,56.0,8
