date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6
2020-02-13,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,8
2020-02-27,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,9
2020-03-05,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.78,0.0,0.0,10
2020-03-12,SY,Q858,Syria,17500657,35.216667,38.583333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,23.15,0.0,0.0,11
2020-03-19,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,61.11,0.0,0.0,12
2020-03-26,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,84.26,5.0,0.0,13
2020-04-02,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,11.0,2.0,14
2020-04-09,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,3.0,0.0,15
2020-04-16,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,19.0,0.0,16
2020-04-23,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,4.0,1.0,17
2020-04-30,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,2.0,0.0,18
2020-05-07,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,3.0,0.0,19
2020-05-14,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,3.0,0.0,20
2020-05-21,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,9.0,1.0,21
2020-05-28,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,87.04,63.0,0.0,22
2020-06-04,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,2.0,2.0,23
2020-06-11,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,46.0,0.0,24
2020-06-18,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,17.0,1.0,25
2020-06-25,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,67.0,0.0,26
2020-07-02,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,74.0,3.0,27
2020-07-09,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,66.0,6.0,28
2020-07-16,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,102.0,9.0,29
2020-07-23,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,112.0,10.0,30
2020-07-30,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,149.0,8.0,31
2020-08-06,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,69.44,303.0,5.0,32
2020-08-13,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,65.74,455.0,10.0,33
2020-08-20,SY,Q858,Syria,17500657,35.216667,38.583333,2.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,62.04,558.0,25.0,34
2020-08-27,SY,Q858,Syria,17500657,35.216667,38.583333,2.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,62.04,490.0,20.0,35
2020-09-03,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,62.04,478.0,24.0,36
2020-09-10,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,53.24,435.0,23.0,37
2020-09-17,SY,Q858,Syria,17500657,35.216667,38.583333,3.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,53.24,255.0,18.0,38
2020-09-24,SY,Q858,Syria,17500657,35.216667,38.583333,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,47.69,270.0,17.0,39
2020-10-01,SY,Q858,Syria,17500657,35.216667,38.583333,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,47.69,288.0,18.0,40
2020-10-08,SY,Q858,Syria,17500657,35.216667,38.583333,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,42.13,327.0,15.0,41
