date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
2020-01-09,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,5
2020-02-06,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,6
2020-02-13,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,0.0,0.0,7
2020-02-20,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,8
2020-02-27,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33,0.0,0.0,9
2020-03-05,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.89,0.0,0.0,10
2020-03-12,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.89,0.0,0.0,11
2020-03-19,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,55.56,0.0,0.0,12
2020-03-26,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,55.56,8.0,0.0,13
2020-04-02,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,86.11,0.0,0.0,14
2020-04-09,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,89.81,3.0,0.0,15
2020-04-16,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,89.81,7.0,0.0,16
2020-04-23,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,84.26,21.0,0.0,17
2020-04-30,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,66.0,0.0,18
2020-05-07,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,53.0,1.0,19
2020-05-14,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,31.0,0.0,20
2020-05-21,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,35.0,0.0,21
2020-05-28,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,58.0,0.0,22
2020-06-04,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,33.0,1.0,23
2020-06-11,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,156.0,0.0,24
2020-06-18,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,151.0,1.0,25
2020-06-25,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,105.0,4.0,26
2020-07-02,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,181.0,5.0,27
2020-07-09,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,84.26,348.0,5.0,28
2020-07-16,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,362.0,3.0,29
2020-07-23,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,454.0,7.0,30
2020-07-30,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,575.0,12.0,31
2020-08-06,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,390.0,16.0,32
2020-08-13,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,632.0,12.0,33
2020-08-20,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,80.56,458.0,11.0,34
2020-08-27,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,333.0,12.0,35
2020-09-03,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,319.0,3.0,36
2020-09-10,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,245.0,4.0,37
2020-09-17,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,190.0,5.0,38
2020-09-24,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,184.0,5.0,39
2020-10-01,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,64.81,122.0,4.0,40
2020-10-08,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,59.26,123.0,1.0,41
2020-10-15,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,59.26,102.0,2.0,42
2020-10-22,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,59.26,85.0,1.0,43
2020-10-29,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,48.15,78.0,1.0,44
2020-11-05,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,48.15,67.0,0.0,45
2020-11-12,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,48.15,100.0,1.0,46
2020-11-19,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,48.15,109.0,1.0,47
2020-11-26,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,48.15,177.0,1.0,48
2020-12-03,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,38.89,118.0,2.0,49
2020-12-10,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,50.93,205.0,5.0,50
2020-12-17,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,50.93,517.0,9.0,51
2020-12-24,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,59.26,966.0,18.0,52
2020-12-31,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,2.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,59.26,1312.0,61.0,53
2021-01-07,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,75.0,1493.0,64.0,1
2021-01-14,SZ,Q1050,Swaziland,1160164,-26.483333,31.433333,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,75.0,1559.0,64.0,2
