date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,UA,Q212,Ukraine,43733759,49.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,1.0,0.0,10
2020-03-12,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,50.0,2.0,0.0,11
2020-03-19,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,23.0,3.0,12
2020-03-26,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,130.0,2.0,13
2020-04-02,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,741.0,17.0,14
2020-04-09,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,995.0,35.0,15
2020-04-16,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,2269.0,59.0,16
2020-04-23,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,3009.0,71.0,17
2020-04-30,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,88.89,3236.0,74.0,18
2020-05-07,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,88.89,3285.0,79.0,19
2020-05-14,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,88.89,3156.0,116.0,20
2020-05-21,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,88.89,2859.0,123.0,21
2020-05-28,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,83.33,2676.0,90.0,22
2020-06-04,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,83.33,3029.0,78.0,23
2020-06-11,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,76.39,3659.0,107.0,24
2020-06-18,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,76.39,4993.0,112.0,25
2020-06-25,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,68.06,5945.0,101.0,26
2020-07-02,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.67,5879.0,118.0,27
2020-07-09,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.67,5337.0,142.0,28
2020-07-16,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.67,5231.0,118.0,29
2020-07-23,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.67,5396.0,106.0,30
2020-07-30,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,41.67,6943.0,122.0,31
2020-08-06,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,57.87,8014.0,146.0,32
2020-08-13,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,57.87,9332.0,173.0,33
2020-08-20,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,57.87,12397.0,192.0,34
2020-08-27,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,57.87,13522.0,219.0,35
2020-09-03,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,66.2,16169.0,307.0,36
2020-09-10,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,64.35,17384.0,313.0,37
2020-09-17,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,64.35,20632.0,377.0,38
2020-09-24,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,64.35,21862.0,357.0,39
2020-10-01,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,64.35,24922.0,436.0,40
2020-10-08,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,31706.0,497.0,41
2020-10-15,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,36505.0,612.0,42
2020-10-22,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,41640.0,741.0,43
2020-10-29,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,47538.0,825.0,44
2020-11-05,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,60050.0,1056.0,45
2020-11-12,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,58.8,70398.0,1221.0,46
2020-11-19,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,82645.0,1224.0,47
2020-11-26,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,93679.0,1348.0,48
2020-12-03,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,95571.0,1243.0,49
2020-12-10,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,85954.0,1510.0,50
2020-12-17,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,73037.0,1526.0,51
2020-12-24,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,61.57,69381.0,1399.0,52
2020-12-31,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,53915.0,1138.0,53
2021-01-07,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,44446.0,972.0,1
2021-01-14,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,63.89,39271.0,871.0,2
2021-01-21,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,63.89,38857.0,1123.0,3
2021-01-28,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,63.89,28791.0,852.0,4
2021-02-04,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,25834.0,878.0,5
2021-02-11,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,25848.0,829.0,6
2021-02-18,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,29047.0,794.0,7
2021-02-25,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,54.63,38700.0,744.0,8
2021-03-04,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,60.19,48921.0,995.0,9
2021-03-11,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,60.19,50760.0,1094.0,10
2021-03-18,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,60.19,78554.0,1568.0,11
2021-03-25,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,62.04,92499.0,1882.0,12
2021-04-01,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,62.04,95162.0,2111.0,13
2021-04-08,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,66.67,112261.0,2716.0,14
2021-04-15,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,69.44,99767.0,2696.0,15
2021-04-22,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,70.83,86588.0,2608.0,16
2021-04-29,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,70.83,69112.0,2512.0,17
2021-05-06,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,76.39,37559.0,1673.0,18
2021-05-13,UA,Q212,Ukraine,43733759,49.0,32.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,76.39,38862.0,1882.0,19
2021-05-20,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,57.41,34512.0,1566.0,20
2021-05-27,UA,Q212,Ukraine,43733759,49.0,32.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,57.41,22969.0,1177.0,21
