date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,UY,Q77,Uruguay,3473727,-33.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-19,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,54.63,94.0,0.0,12
2020-03-26,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,57.41,144.0,0.0,13
2020-04-02,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,131.0,4.0,14
2020-04-09,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,104.0,3.0,15
2020-04-16,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,72.22,29.0,2.0,16
2020-04-23,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,62.96,55.0,3.0,17
2020-04-30,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,86.0,5.0,18
2020-05-07,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,41.0,0.0,19
2020-05-14,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,40.0,2.0,20
2020-05-21,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,25.0,1.0,21
2020-05-28,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,62.0,2.0,22
2020-06-04,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,21.0,1.0,23
2020-06-11,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,15.0,0.0,24
2020-06-18,UY,Q77,Uruguay,3473727,-33.0,-56.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,61.11,3.0,1.0,25
2020-06-25,UY,Q77,Uruguay,3473727,-33.0,-56.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,57.41,57.0,2.0,26
2020-07-02,UY,Q77,Uruguay,3473727,-33.0,-56.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,57.41,40.0,2.0,27
2020-07-09,UY,Q77,Uruguay,3473727,-33.0,-56.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,57.41,30.0,1.0,28
2020-07-16,UY,Q77,Uruguay,3473727,-33.0,-56.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,39.81,49.0,3.0,29
2020-07-23,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,115.0,2.0,30
2020-07-30,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,102.0,1.0,31
2020-08-06,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,75.0,2.0,32
2020-08-13,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,91.0,0.0,33
2020-08-20,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,37.96,97.0,4.0,34
2020-08-27,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,36.11,45.0,2.0,35
2020-09-03,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,32.41,85.0,1.0,36
2020-09-10,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,32.41,123.0,1.0,37
2020-09-17,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,117.0,1.0,38
2020-09-24,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,83.0,1.0,39
2020-10-01,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,102.0,1.0,40
2020-10-08,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,165.0,1.0,41
2020-10-15,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,191.0,2.0,42
2020-10-22,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,284.0,2.0,43
2020-10-29,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,343.0,4.0,44
2020-11-05,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,265.0,4.0,45
2020-11-12,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,486.0,2.0,46
2020-11-19,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,582.0,6.0,47
2020-11-26,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,43.52,740.0,5.0,48
2020-12-03,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,50.0,1338.0,6.0,49
2020-12-10,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,50.0,2032.0,10.0,50
2020-12-17,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,53.7,2949.0,15.0,51
2020-12-24,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,70.37,4021.0,30.0,52
2020-12-31,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,70.37,3662.0,46.0,53
2021-01-07,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,70.37,4688.0,50.0,1
2021-01-14,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,70.37,6182.0,49.0,2
2021-01-21,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,64.81,5003.0,67.0,3
2021-01-28,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,64.81,4895.0,68.0,4
2021-02-04,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,64.81,3917.0,61.0,5
2021-02-11,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,64.81,3450.0,48.0,6
2021-02-18,UY,Q77,Uruguay,3473727,-33.0,-56.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,64.81,3498.0,34.0,7
2021-02-25,UY,Q77,Uruguay,3473727,-33.0,-56.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,68.52,4943.0,37.0,8
