date,location_key,wikidata_id,country_name,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index,new_confirmed,new_deceased,calendar_week
2020-01-02,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-09,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-16,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-23,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-30,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-02-06,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-02-13,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-02-20,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-02-27,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-03-05,XK,Q1246,Kosovo,1883018,42.55,20.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-12,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,41.67,2.0,0.0,11
2020-03-19,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,83.33,18.0,0.0,12
2020-03-26,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,68.0,1.0,13
2020-04-02,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,38.0,0.0,14
2020-04-09,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,101.0,6.0,15
2020-04-16,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,222.0,6.0,16
2020-04-23,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,220.0,2.0,17
2020-04-30,XK,Q1246,Kosovo,1883018,42.55,20.833333,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,92.59,130.0,2.0,18
